id,coherence,consistency,fluency,relevance
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,4,5,3,4
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,4,4,4,4
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,4,5,3,5
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,3,4,3,4
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,5,5,5,5
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,5,5,5,5
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,4,5,4,4
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,2,2,2,3
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,4,5,4,5
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,3,5,4,4
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,3,4,3,3
dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0,4,4,4,4
dm-test-9b5a04b9879fe716a2dcd66dd331f99534603c16,3,4,3,4
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,4,5,4,4
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,3,4,2,4
dm-test-4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,4,4,3,4
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,4,5,5,4
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,5,5,5,5
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,5,5,5,5
dm-test-2cfc33d01364162579f46b2764914a03a29453ce,3,4,3,4
dm-test-051db270afc32571a08c15124330efe89d80fea8,2,2,2,2
dm-test-02c955067d00f38b6978b805d5a8701a787f78ac,4,5,4,4
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,4,5,3,5
dm-test-2cfc33d01364162579f46b2764914a03a29453ce,4,5,3,5
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,2,2,2,3
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,4,5,3,5
dm-test-d3c9ce137ba24a69253508b3416630465c050ae4,3,4,3,4
dm-test-c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0,4,4,4,5
dm-test-e880fda4c25289f8325574246f0f8ed4ff5eb26b,4,4,3,4
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,3,4,3,4
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,4,5,4,5
dm-test-e880fda4c25289f8325574246f0f8ed4ff5eb26b,4,3,3,4
dm-test-051db270afc32571a08c15124330efe89d80fea8,5,4,5,5
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,4,5,2,4
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,3,4,2,4
dm-test-14c813567696f4e63a39993c09d4edb454036179,3,4,3,4
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,3,4,2,3
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,4,4,3,4
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,4,5,4,3
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,3,4,3,4
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,4,5,5,4
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,4,5,3,4
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,5,5,4,5
dm-test-b1f6faac3f406edca1e0cad8cce1319c83e62605,2,3,4,2
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,3,2,2,2
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,5,5,3,4
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,4,4,3,4
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,2,3,2,2
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,4,5,4,5
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,3,4,3,4
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,4,5,3,5
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,5,5,4,5
dm-test-c50d33e9749e7bb484d9b69c4f5fca35a3a50cb5,3,2,2,4
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,5,5,5,5
dm-test-d83b82a9cd504218e604616be3f3c3928e3428b8,4,4,3,4
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,2,4,3,4
cnn-test-bcdb32ae644040a721da880fff9c1d502048cd8b,4,4,3,4
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,5,5,5,5
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,2,2,3,2
dm-test-4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,4,5,4,5
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,3,2,2,3
